2026-01-25 07:08:46, Epoch 108, LR 0.000010, Acc 99.91, LOSS 0.047548, EER 27.7429, minDCF 0.988, Train Time 110.69s, Eval Time 85.30s
2026-01-25 07:12:01, Epoch 109, LR 0.000010, Acc 99.95, LOSS 0.047853, EER 27.6857, minDCF 0.986, Train Time 110.93s, Eval Time 83.62s
2026-01-25 07:15:24, Epoch 110, LR 0.000010, Acc 99.96, LOSS 0.047606, EER 27.6571, minDCF 0.984, Train Time 110.83s, Eval Time 91.75s
2026-01-25 07:18:39, Epoch 111, LR 0.000010, Acc 99.93, LOSS 0.047113, EER 27.8000, minDCF 0.988, Train Time 110.77s, Eval Time 84.54s
2026-01-25 07:22:00, Epoch 112, LR 0.000010, Acc 99.96, LOSS 0.046607, EER 27.7143, minDCF 0.985, Train Time 110.89s, Eval Time 90.31s
2026-01-25 07:25:15, Epoch 113, LR 0.000010, Acc 99.94, LOSS 0.046980, EER 27.4571, minDCF 0.987, Train Time 110.81s, Eval Time 83.74s
2026-01-25 07:28:31, Epoch 114, LR 0.000010, Acc 99.96, LOSS 0.046217, EER 27.9714, minDCF 0.987, Train Time 111.09s, Eval Time 85.47s
2026-01-25 07:31:50, Epoch 115, LR 0.000010, Acc 99.94, LOSS 0.044781, EER 27.6000, minDCF 0.988, Train Time 110.99s, Eval Time 88.00s
2026-01-25 07:35:04, Epoch 116, LR 0.000010, Acc 99.95, LOSS 0.044573, EER 27.6286, minDCF 0.985, Train Time 110.90s, Eval Time 83.15s
2026-01-25 07:38:18, Epoch 117, LR 0.000010, Acc 99.94, LOSS 0.044839, EER 27.6286, minDCF 0.986, Train Time 111.02s, Eval Time 82.29s
2026-01-25 07:41:40, Epoch 118, LR 0.000010, Acc 99.97, LOSS 0.044811, EER 27.5429, minDCF 0.989, Train Time 110.70s, Eval Time 91.91s
2026-01-25 07:45:00, Epoch 119, LR 0.000010, Acc 99.96, LOSS 0.044333, EER 27.4571, minDCF 0.988, Train Time 111.47s, Eval Time 88.53s
2026-01-25 07:48:17, Epoch 120, LR 0.000010, Acc 99.94, LOSS 0.044567, EER 28.0286, minDCF 0.984, Train Time 111.41s, Eval Time 84.84s
2026-01-25 07:51:28, Epoch 121, LR 0.000010, Acc 99.98, LOSS 0.043509, EER 27.6857, minDCF 0.983, Train Time 110.75s, Eval Time 81.11s
2026-01-25 07:54:42, Epoch 122, LR 0.000010, Acc 99.94, LOSS 0.043704, EER 27.4571, minDCF 0.984, Train Time 110.66s, Eval Time 83.42s
2026-01-25 07:57:55, Epoch 123, LR 0.000010, Acc 99.97, LOSS 0.042905, EER 27.3143, minDCF 0.986, Train Time 110.96s, Eval Time 81.56s
2026-01-25 08:01:09, Epoch 124, LR 0.000010, Acc 99.97, LOSS 0.042827, EER 27.5143, minDCF 0.983, Train Time 110.67s, Eval Time 83.67s
2026-01-25 08:04:23, Epoch 125, LR 0.000010, Acc 99.95, LOSS 0.041590, EER 27.2000, minDCF 0.987, Train Time 110.80s, Eval Time 83.16s
2026-01-25 08:07:38, Epoch 126, LR 0.000010, Acc 99.97, LOSS 0.042889, EER 27.2000, minDCF 0.982, Train Time 111.33s, Eval Time 83.06s
2026-01-25 08:10:50, Epoch 127, LR 0.000010, Acc 99.95, LOSS 0.042442, EER 27.3143, minDCF 0.987, Train Time 110.60s, Eval Time 81.30s
2026-01-25 08:14:02, Epoch 128, LR 0.000010, Acc 99.96, LOSS 0.041887, EER 27.7143, minDCF 0.989, Train Time 110.90s, Eval Time 81.23s
2026-01-25 08:17:14, Epoch 129, LR 0.000010, Acc 99.97, LOSS 0.042791, EER 27.2857, minDCF 0.984, Train Time 110.98s, Eval Time 81.19s
2026-01-25 08:20:37, Epoch 130, LR 0.000010, Acc 99.98, LOSS 0.040935, EER 27.3429, minDCF 0.987, Train Time 110.69s, Eval Time 92.08s
2026-01-25 08:23:50, Epoch 131, LR 0.000010, Acc 99.94, LOSS 0.042926, EER 27.4286, minDCF 0.988, Train Time 111.14s, Eval Time 81.70s
2026-01-25 08:27:03, Epoch 132, LR 0.000010, Acc 99.98, LOSS 0.041381, EER 27.4286, minDCF 0.984, Train Time 111.18s, Eval Time 81.71s
2026-01-25 08:30:21, Epoch 133, LR 0.000010, Acc 99.95, LOSS 0.040344, EER 27.2857, minDCF 0.989, Train Time 110.80s, Eval Time 87.69s
2026-01-25 08:33:34, Epoch 134, LR 0.000010, Acc 99.97, LOSS 0.041389, EER 27.2857, minDCF 0.987, Train Time 110.88s, Eval Time 81.92s
2026-01-25 08:36:46, Epoch 135, LR 0.000010, Acc 99.96, LOSS 0.040238, EER 27.4286, minDCF 0.987, Train Time 110.79s, Eval Time 80.86s
2026-01-25 08:40:07, Epoch 136, LR 0.000010, Acc 99.98, LOSS 0.041025, EER 27.2000, minDCF 0.985, Train Time 110.60s, Eval Time 90.71s
2026-01-25 08:43:20, Epoch 137, LR 0.000010, Acc 99.96, LOSS 0.040638, EER 27.2000, minDCF 0.989, Train Time 111.03s, Eval Time 82.25s
2026-01-25 08:46:34, Epoch 138, LR 0.000010, Acc 99.97, LOSS 0.040141, EER 27.4857, minDCF 0.984, Train Time 111.26s, Eval Time 82.60s
2026-01-25 08:49:54, Epoch 139, LR 0.000010, Acc 99.98, LOSS 0.039353, EER 27.3429, minDCF 0.982, Train Time 110.75s, Eval Time 89.39s
2026-01-25 08:53:05, Epoch 140, LR 0.000010, Acc 99.97, LOSS 0.040005, EER 27.3143, minDCF 0.987, Train Time 111.24s, Eval Time 79.69s
2026-01-25 08:56:16, Epoch 141, LR 0.000010, Acc 99.97, LOSS 0.040005, EER 27.7429, minDCF 0.987, Train Time 110.89s, Eval Time 80.18s
2026-01-25 08:59:28, Epoch 142, LR 0.000010, Acc 99.98, LOSS 0.039263, EER 27.8286, minDCF 0.985, Train Time 110.93s, Eval Time 80.52s
2026-01-25 09:02:39, Epoch 143, LR 0.000010, Acc 99.97, LOSS 0.038528, EER 27.3143, minDCF 0.985, Train Time 110.64s, Eval Time 80.38s
2026-01-25 09:05:50, Epoch 144, LR 0.000010, Acc 99.98, LOSS 0.038452, EER 27.7143, minDCF 0.987, Train Time 110.67s, Eval Time 80.49s
2026-01-25 09:09:02, Epoch 145, LR 0.000010, Acc 99.96, LOSS 0.039595, EER 27.6857, minDCF 0.986, Train Time 111.29s, Eval Time 80.90s
2026-01-25 09:12:12, Epoch 146, LR 0.000010, Acc 99.93, LOSS 0.040060, EER 27.3143, minDCF 0.981, Train Time 110.81s, Eval Time 79.63s
2026-01-25 09:15:22, Epoch 147, LR 0.000010, Acc 99.96, LOSS 0.038520, EER 27.0571, minDCF 0.982, Train Time 110.74s, Eval Time 78.92s
2026-01-25 09:18:35, Epoch 148, LR 0.000010, Acc 99.98, LOSS 0.037368, EER 27.3429, minDCF 0.983, Train Time 110.66s, Eval Time 81.91s
2026-01-25 09:21:47, Epoch 149, LR 0.000010, Acc 99.98, LOSS 0.037032, EER 27.5143, minDCF 0.983, Train Time 110.79s, Eval Time 81.59s
2026-01-25 09:24:59, Epoch 150, LR 0.000010, Acc 99.96, LOSS 0.036617, EER 27.6286, minDCF 0.985, Train Time 111.03s, Eval Time 80.59s
2026-01-25 09:28:11, Epoch 151, LR 0.000010, Acc 99.98, LOSS 0.036750, EER 27.1143, minDCF 0.984, Train Time 110.47s, Eval Time 81.33s
2026-01-25 09:31:22, Epoch 152, LR 0.000010, Acc 100.00, LOSS 0.036445, EER 27.2857, minDCF 0.983, Train Time 110.70s, Eval Time 80.66s
