2026-01-25 03:57:04, Epoch 90, LR 0.000010, Acc 99.91, LOSS 0.064353, EER 23.1714, minDCF 0.906, Train Time 40.72s, Eval Time 101.22s
2026-01-25 03:59:00, Epoch 91, LR 0.000010, Acc 99.78, LOSS 0.064219, EER 23.4286, minDCF 0.892, Train Time 40.75s, Eval Time 75.81s
2026-01-25 04:01:03, Epoch 92, LR 0.000010, Acc 99.93, LOSS 0.062836, EER 23.2857, minDCF 0.907, Train Time 40.27s, Eval Time 82.37s
2026-01-25 04:03:08, Epoch 93, LR 0.000010, Acc 99.84, LOSS 0.064363, EER 23.2571, minDCF 0.900, Train Time 40.36s, Eval Time 84.77s
2026-01-25 04:05:06, Epoch 94, LR 0.000010, Acc 99.88, LOSS 0.060912, EER 23.0000, minDCF 0.884, Train Time 40.42s, Eval Time 77.69s
2026-01-25 04:07:07, Epoch 95, LR 0.000010, Acc 99.93, LOSS 0.058687, EER 23.0000, minDCF 0.902, Train Time 40.79s, Eval Time 80.17s
2026-01-25 04:09:09, Epoch 96, LR 0.000010, Acc 99.87, LOSS 0.059873, EER 23.4000, minDCF 0.913, Train Time 41.07s, Eval Time 80.92s
2026-01-25 04:11:11, Epoch 97, LR 0.000010, Acc 99.87, LOSS 0.061208, EER 23.2571, minDCF 0.898, Train Time 40.48s, Eval Time 81.62s
2026-01-25 04:13:30, Epoch 98, LR 0.000010, Acc 99.87, LOSS 0.060341, EER 23.2286, minDCF 0.898, Train Time 40.55s, Eval Time 98.24s
2026-01-25 04:15:32, Epoch 99, LR 0.000010, Acc 99.90, LOSS 0.060471, EER 22.2857, minDCF 0.887, Train Time 40.26s, Eval Time 81.50s
2026-01-25 04:17:30, Epoch 100, LR 0.000010, Acc 99.87, LOSS 0.059264, EER 22.8857, minDCF 0.903, Train Time 40.49s, Eval Time 78.02s
2026-01-25 04:19:29, Epoch 101, LR 0.000010, Acc 99.91, LOSS 0.057552, EER 22.7714, minDCF 0.887, Train Time 40.49s, Eval Time 77.73s
2026-01-25 04:21:30, Epoch 102, LR 0.000010, Acc 99.91, LOSS 0.058310, EER 22.7714, minDCF 0.895, Train Time 40.45s, Eval Time 80.99s
2026-01-25 04:23:28, Epoch 103, LR 0.000010, Acc 99.81, LOSS 0.060570, EER 22.5714, minDCF 0.891, Train Time 40.68s, Eval Time 76.99s
2026-01-25 04:26:01, Epoch 104, LR 0.000010, Acc 99.88, LOSS 0.058976, EER 22.5143, minDCF 0.893, Train Time 40.53s, Eval Time 112.98s
2026-01-25 04:28:28, Epoch 105, LR 0.000010, Acc 99.91, LOSS 0.056108, EER 22.1429, minDCF 0.886, Train Time 40.47s, Eval Time 105.82s
2026-01-25 04:30:43, Epoch 106, LR 0.000010, Acc 99.91, LOSS 0.057197, EER 22.0571, minDCF 0.893, Train Time 40.47s, Eval Time 94.61s
2026-01-25 04:32:41, Epoch 107, LR 0.000010, Acc 99.93, LOSS 0.056393, EER 22.5143, minDCF 0.894, Train Time 40.63s, Eval Time 77.75s
2026-01-25 04:35:21, Epoch 108, LR 0.000010, Acc 99.90, LOSS 0.058941, EER 23.0000, minDCF 0.895, Train Time 40.49s, Eval Time 119.31s
2026-01-25 04:37:41, Epoch 109, LR 0.000010, Acc 99.94, LOSS 0.054376, EER 22.0286, minDCF 0.885, Train Time 40.57s, Eval Time 99.40s
2026-01-25 04:39:39, Epoch 110, LR 0.000010, Acc 99.96, LOSS 0.054821, EER 21.9143, minDCF 0.893, Train Time 41.05s, Eval Time 76.54s
2026-01-25 04:41:36, Epoch 111, LR 0.000010, Acc 99.97, LOSS 0.053651, EER 22.3143, minDCF 0.893, Train Time 40.24s, Eval Time 76.21s
2026-01-25 04:43:35, Epoch 112, LR 0.000010, Acc 99.91, LOSS 0.053109, EER 22.4857, minDCF 0.900, Train Time 40.55s, Eval Time 79.20s
2026-01-25 04:46:02, Epoch 113, LR 0.000010, Acc 99.94, LOSS 0.054391, EER 22.7429, minDCF 0.881, Train Time 40.42s, Eval Time 106.66s
2026-01-25 04:48:09, Epoch 114, LR 0.000010, Acc 99.94, LOSS 0.052571, EER 22.0571, minDCF 0.886, Train Time 40.42s, Eval Time 86.52s
2026-01-25 04:50:10, Epoch 115, LR 0.000010, Acc 99.88, LOSS 0.055609, EER 22.5429, minDCF 0.885, Train Time 40.47s, Eval Time 79.94s
